"Code","HexValue","Description","DecimalValue"
"SCHED_S_TASK_READY","0x00041300","The task is ready to run at its next scheduled time.","267008"
"SCHED_S_TASK_RUNNING","0x00041301","The task is currently running.","267009"
"SCHED_S_TASK_DISABLED","0x00041302","The task will not run at the scheduled times because it has been disabled.","267010"
"SCHED_S_TASK_HAS_NOT_RUN","0x00041303","The task has not yet run.","267011"
"SCHED_S_TASK_NO_MORE_RUNS","0x00041304","There are no more runs scheduled for this task.","267012"
"SCHED_S_TASK_NOT_SCHEDULED","0x00041305","One or more of the properties that are needed to run this task on a schedule have not been set.","267013"
"SCHED_S_TASK_TERMINATED","0x00041306","The last run of the task was terminated by the user.","267014"
"SCHED_S_TASK_NO_VALID_TRIGGERS","0x00041307","Either the task has no triggers or the existing triggers are disabled or not set.","267015"
"SCHED_S_EVENT_TRIGGER","0x00041308","Event triggers do not have set run times.","267016"
"SCHED_E_TRIGGER_NOT_FOUND","0x80041309","A task's trigger is not found.","-2147216631"
"SCHED_E_TASK_NOT_READY","0x8004130A","One or more of the properties required to run this task have not been set.","-2147216630"
"SCHED_E_TASK_NOT_RUNNING","0x8004130B","There is no running instance of the task.","-2147216629"
"SCHED_E_SERVICE_NOT_INSTALLED","0x8004130C","The Task Scheduler service is not installed on this computer.","-2147216628"
"SCHED_E_CANNOT_OPEN_TASK","0x8004130D","The task object could not be opened.","-2147216627"
"SCHED_E_INVALID_TASK","0x8004130E","The object is either an invalid task object or is not a task object.","-2147216626"
"SCHED_E_ACCOUNT_INFORMATION_NOT_SET","0x8004130F","No account information could be found in the Task Scheduler security database for the task indicated.","-2147216625"
"SCHED_E_ACCOUNT_NAME_NOT_FOUND","0x80041310","Unable to establish existence of the account specified.","-2147216624"
"SCHED_E_ACCOUNT_DBASE_CORRUPT","0x80041311","Corruption was detected in the Task Scheduler security database; the database has been reset.","-2147216623"
"SCHED_E_NO_SECURITY_SERVICES","0x80041312","Task Scheduler security services are available only on Windows NT.","-2147216622"
"SCHED_E_UNKNOWN_OBJECT_VERSION","0x80041313","The task object version is either unsupported or invalid.","-2147216621"
"SCHED_E_UNSUPPORTED_ACCOUNT_OPTION","0x80041314","The task has been configured with an unsupported combination of account settings and run time options.","-2147216620"
"SCHED_E_SERVICE_NOT_RUNNING","0x80041315","The Task Scheduler Service is not running.","-2147216619"
"SCHED_E_UNEXPECTEDNODE","0x80041316","The task XML contains an unexpected node.","-2147216618"
"SCHED_E_NAMESPACE","0x80041317","The task XML contains an element or attribute from an unexpected namespace.","-2147216617"
"SCHED_E_INVALIDVALUE","0x80041318","The task XML contains a value which is incorrectly formatted or out of range.","-2147216616"
"SCHED_E_MISSINGNODE","0x80041319","The task XML is missing a required element or attribute.","-2147216615"
"SCHED_E_MALFORMEDXML","0x8004131A","The task XML is malformed.","-2147216614"
"SCHED_S_SOME_TRIGGERS_FAILED","0x0004131B","The task is registered","267035"
"SCHED_S_BATCH_LOGON_PROBLEM","0x0004131C","The task is registered","267036"
"SCHED_E_TOO_MANY_NODES","0x8004131D","The task XML contains too many nodes of the same type.","-2147216611"
"SCHED_E_PAST_END_BOUNDARY","0x8004131E","The task cannot be started after the trigger end boundary.","-2147216610"
"SCHED_E_ALREADY_RUNNING","0x8004131F","An instance of this task is already running.","-2147216609"
"SCHED_E_USER_NOT_LOGGED_ON","0x80041320","The task will not run because the user is not logged on.","-2147216608"
"SCHED_E_INVALID_TASK_HASH","0x80041321","The task image is corrupt or has been tampered with.","-2147216607"
"SCHED_E_SERVICE_NOT_AVAILABLE","0x80041322","The Task Scheduler service is not available.","-2147216606"
"SCHED_E_SERVICE_TOO_BUSY","0x80041323","The Task Scheduler service is too busy to handle your request. Please try again later.","-2147216605"
"SCHED_E_TASK_ATTEMPTED","0x80041324","The Task Scheduler service attempted to run the task","-2147216604"
"SCHED_S_TASK_QUEUED","0x00041325","The Task Scheduler service has asked the task to run.","267045"
"SCHED_E_TASK_DISABLED","0x80041326","The task is disabled.","-2147216602"
"SCHED_E_TASK_NOT_V1_COMPAT","0x80041327","The task has properties that are not compatible with earlier versions of Windows.","-2147216601"
"SCHED_E_START_ON_DEMAND","0x80041328","The task settings do not allow the task to start on demand.","-2147216600"
